t,err,px,py,pz,qw,qx,qy,qz,u1,u2,u3,u4,u5,u6
11.500000000,0.000080816,1.488401285,-0.263074123,-0.627984052,0.155597123,0.489318698,0.562642468,0.647912186,0.339078373,0.000000000,0.000000000,0.112494564,0.037512226,0.037512226
11.600000000,0.000080031,1.478217983,-0.254578284,-0.650450699,0.144262436,0.498159912,0.558499935,0.647381553,0.345562755,0.000000000,0.000000000,0.117050502,0.039773014,0.039773014
11.700000000,0.000079192,1.467608419,-0.245788831,-0.672167120,0.132452628,0.507214112,0.554138284,0.646622694,0.352253365,0.000000000,0.000000000,0.121824698,0.042562592,0.042562592
11.800000000,0.000078302,1.456575655,-0.236715901,-0.693108268,0.120142220,0.516482133,0.549542629,0.645612075,0.359120330,0.000000000,0.000000000,0.126811489,0.045896199,0.045896199
11.900000000,0.000077365,1.445122874,-0.227369960,-0.713249989,0.107306830,0.525961979,0.544697569,0.644324297,0.366127426,0.000000000,0.000000000,0.132002740,0.049786504,0.049786504
12.000000000,0.000076385,1.433253381,-0.217761787,-0.732569051,0.093923817,0.535648313,0.539587391,0.642732175,0.373231349,0.000000000,0.000000000,0.137387387,0.054242850,0.054242850
12.100000000,0.000075366,1.420970598,-0.207902465,-0.751043172,0.079973041,0.545531926,0.534196341,0.640806913,0.380381017,0.000000000,0.000000000,0.142950965,0.059270377,0.059270377
12.200000000,0.000074313,1.408278069,-0.197803365,-0.768651044,0.065437744,0.555599184,0.528508977,0.638518371,0.387517000,0.000000000,0.000000000,0.148675126,0.064869057,0.064869057
12.300000000,0.000073229,1.395179455,-0.187476135,-0.785372359,0.050305546,0.565831493,0.522510606,0.635835466,0.394571118,0.000000000,0.000000000,0.154537195,0.071032635,0.071032635
12.400000000,0.000072120,1.381678534,-0.176932688,-0.801187830,0.034569543,0.576204809,0.516187827,0.632726711,0.401466309,0.000000000,0.000000000,0.160509779,0.077747532,0.077747532
12.500000000,0.000070991,1.367779199,-0.166185183,-0.816079218,0.018229467,0.586689234,0.509529159,0.629160922,0.408116858,0.000000000,0.000000000,0.166560487,0.084991748,0.084991748
12.600000000,0.000069845,1.353485458,-0.155246017,-0.830029346,0.001292869,0.597248754,0.502525760,0.625108083,0.414429085,0.000000000,0.000000000,0.172651818,0.092733840,0.092733840
12.700000000,0.000068689,1.338801433,-0.144127806,-0.843022126,-0.016223744,0.607841172,0.495172224,0.620540384,0.420302588,0.000000000,0.000000000,0.178741246,0.100932066,0.100932066
12.800000000,0.000067526,1.323731358,-0.132843372,-0.855042574,-0.034293900,0.618418285,0.487467412,0.615433405,0.425632107,0.000000000,0.000000000,0.184781592,0.109533791,0.109533791
12.900000000,0.000066362,1.308279575,-0.121405731,-0.866076825,-0.052880369,0.628926366,0.479415284,0.609767396,0.430310048,0.000000000,0.000000000,0.190721704,0.118475280,0.118475280
13.000000000,0.000065202,1.292450540,-0.109828073,-0.876112154,-0.071934699,0.639306977,0.471025676,0.603528625,0.434229645,0.000000000,0.000000000,0.196507470,0.127681963,0.127681963
13.100000000,0.000064050,1.276248815,-0.098123750,-0.885136989,-0.091397166,0.649498126,0.462314953,0.596710673,0.437288652,0.000000000,0.000000000,0.202083189,0.137069277,0.137069277
13.200000000,0.000062910,1.259679068,-0.086306259,-0.893140921,-0.111197223,0.659435760,0.453306469,0.589315620,0.439393413,0.000000000,0.000000000,0.207393228,0.146544138,0.146544138
13.300000000,0.000061787,1.242746074,-0.074389228,-0.900114720,-0.131254503,0.669055536,0.444030766,0.581354990,0.440463038,0.000000000,0.000000000,0.212383918,0.156007013,0.156007013
13.400000000,0.000060684,1.225454712,-0.062386400,-0.906050345,-0.151480370,0.678294772,0.434525453,0.572850357,0.440433387,0.000000000,0.000000000,0.217005563,0.165354564,0.165354564
